
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> Euro
	<Currency> Euro, 1
	<Currency> Euro5, 5
	<Currency> Euro10, 10
	<Currency> Euro20, 20
	<Currency> Euro50, 50
	<Currency> Euro100, 100

<Trader> Food & Medical Trader // ID=0
	<Category> Vegetables
		Plum,										*,			30,			A
		Winchester70,								W,			500,		A
		MSFC_Winchester70_WHITE,					W,			550,		A
		MSFC_Winchester70_ATACS_AU,					W,			550,		A
		MSFC_Winchester70_ATACS_FG,					W,			550,		A
		MSFC_Winchester70_BLUE,						W,			550,		A
		MSFC_Winchester70_EMR,						W,			550,		A
		MSFC_Winchester70_Flecktarn,				W,			550,		A
		MSFC_Winchester70_HEX,						W,			550,		A
		MSFC_Winchester70_MARPAT_WD,				W,			550,		A
		MSFC_Winchester70_MULTICAM,					W,			550,		A
		MSFC_Winchester70_MULTICAM_BLACK,			W,			550,		A
		MSFC_Winchester70_MULTICAM_TROPIC,			W,			550,		A
		MSFC_Winchester70_SNAKE,					W,			550,		A
		MSFC_Winchester70_SNAKE_GREEN,				W,			550,		A
		MSFC_Winchester70_SURPAT,					W,			550,		A
		MSFC_Winchester70_VIPER_WESTERN,			W,			550,		A
		MSFC_Winchester70_Woodland,					W,			550,		A
		MSFC_Winchester70_SURPAT_TAN,				W,			550,		A
		MSFC_Winchester70_ORANGE,					W,			550,		A
		MSFC_Winchester70_RED,						W,			550,		A
		MSFC_Winchester70_DARK,						W,			550,		A
		MSFC_Winchester70_MATRIX,					W,			550,		A
		MSFC_Winchester70_REDBLACKWHITE,			W,			550,		A
		MSFC_Winchester70_Honeycomb,				W,			550,		A
		MSFC_Winchester70_STAR,						W,			550,		A
		Massmini14,									W,			1200,		A
		SKS,										W,			600,		A
		MSFC_SKS_WHITE,								W,			650,		A
		MSFC_SKS_ATACS_AU,							W,			650,		A
		MSFC_SKS_ATACS_FG,							W,			650,		A
		MSFC_SKS_BLUE,								W,			650,		A
		MSFC_SKS_EMR,								W,			650,		A
		MSFC_SKS_Flecktarn,							W,			650,		A
		MSFC_SKS_HEX,								W,			650,		A
		MSFC_SKS_MARPAT_WD,							W,			650,		A
		MSFC_SKS_MULTICAM,							W,			650,		A
		MSFC_SKS_MULTICAM_BLACK,					W,			650,		A
		MSFC_SKS_MULTICAM_TROPIC,					W,			650,		A
		MSFC_SKS_SNAKE,								W,			650,		A
		MSFC_SKS_SNAKE_GREEN,						W,			650,		A
		MSFC_SKS_SURPAT,							W,			650,		A
		MSFC_SKS_VIPER_WESTERN,						W,			650,		A
		MSFC_SKS_Woodland,							W,			650,		A
		MSFC_SKS_SURPAT_TAN,						W,			650,		A
		MSFC_SKS_ORANGE,							W,			650,		A
		MSFC_SKS_RED,								W,			650,		A
		MSFC_SKS_DARK,								W,			650,		A
		MSFC_SKS_MATRIX,							W,			650,		A
		MSFC_SKS_REDBLACKWHITE,						W,			650,		A
		MSFC_SKS_Honeycomb,							W,			650,		A
		MSFC_SKS_STAR,								W,			650,		A
		MassSVT40,									W,			750,		A
		MassSVT40_Black,							W,			800,		A
		MassSVT40_Green,							W,			800,		A
		MassSVT40_Camo,								W,			800,		A
		Gewehr43_mung,								W,			550,		A
		Kar98real,									W,			450,		A
	<Category> Shotguns
		MassStevens301,								W,			600,		A
		MassStevens301_green,						W,			650,		A
		MassStevens301_tan,							W,			650,		A
		Izh43Shotgun,								W,			900,		A
		izh54_mung,									W,			900,		A
		izh54_sawnoff_mung,							W,			900,		A
		Mp133Shotgun,								W,			500,		A
		Massarmsan,									W,			1000,		A
		MSFC_Mossberg590,							W,			1100,		A
		MSFC_BlackEagleII,							W,			1100,		A
		Saiga,										W,			2000,		A
	<Category> Submachine Guns
		CZ61,										W,			700,		A
		VityazSN,									W,			1000,		A
		MP5K,										W,			1000,		A
		MSFC_MP5K_WHITE,							W,			1200,		A
		MSFC_MP5K_ATACS_AU,							W,			1200,		A
		MSFC_MP5K_ATACS_FG,							W,			1200,		A
		MSFC_MP5K_BLUE,								W,			1200,		A
		MSFC_MP5K_EMR,								W,			1200,		A
		MSFC_MP5K_Flecktarn,						W,			1200,		A
		MSFC_MP5K_HEX,								W,			1200,		A
		MSFC_MP5K_MARPAT_WD,						W,			1200,		A
		MSFC_MP5K_MULTICAM,							W,			1200,		A
		MSFC_MP5K_MULTICAM_BLACK,					W,			1200,		A
		MSFC_MP5K_MULTICAM_TROPIC,					W,			1200,		A
		MSFC_MP5K_SNAKE,							W,			1200,		A
		MSFC_MP5K_SNAKE_GREEN,						W,			1200,		A
		MSFC_MP5K_SURPAT,							W,			1200,		A
		MSFC_MP5K_VIPER_WESTERN,					W,			1200,		A
		MSFC_MP5K_Woodland,							W,			1200,		A
		MSFC_MP5K_SURPAT_TAN,						W,			1200,		A
		MSFC_MP5K_ORANGE,							W,			1200,		A
		MSFC_MP5K_RED,								W,			1200,		A
		MSFC_MP5K_DARK,								W,			1200,		A
		MSFC_MP5K_MATRIX,							W,			1200,		A
		MSFC_MP5K_REDBLACKWHITE,					W,			1200,		A
		MSFC_MP5K_Honeycomb,						W,			1200,		A
		MSFC_MP5K_STAR,								W,			1200,		A
		MassPPSH41,									W,			1500,		A
		MassPPSH41_Black,							W,			1500,		A
		MassPPSH41_Green,							W,			1500,		A
		MassPPSH41_Camo,							W,			1500,		A
		UMP45,										W,			800,		A
		MSFC_UMP_WHITE,								W,			1000,		A
		MSFC_UMP_ATACS_AU,							W,			1000,		A
		MSFC_UMP_ATACS_FG,							W,			1000,		A
		MSFC_UMP_BLUE,								W,			1000,		A
		MSFC_UMP_EMR,								W,			1000,		A
		MSFC_UMP_Flecktarn,							W,			1000,		A
		MSFC_UMP_HEX,								W,			1000,		A
		MSFC_UMP_MARPAT_WD,							W,			1000,		A
		MSFC_UMP_MULTICAM,							W,			1000,		A
		MSFC_UMP_MULTICAM_BLACK,					W,			1000,		A
		MSFC_UMP_MULTICAM_TROPIC,					W,			1000,		A
		MSFC_UMP_SNAKE,								W,			1000,		A
		MSFC_UMP_SNAKE_GREEN,						W,			1000,		A
		MSFC_UMP_SURPAT,							W,			1000,		A
		MSFC_UMP_VIPER_WESTERN,						W,			1000,		A
		MSFC_UMP_Woodland,							W,			1000,		A
		MSFC_UMP_SURPAT_TAN,						W,			1000,		A
		MSFC_UMP_ORANGE,							W,			1000,		A
		MSFC_UMP_RED,								W,			1000,		A
		MSFC_UMP_DARK,								W,			1000,		A
		MSFC_UMP_MATRIX,							W,			1000,		A
		MSFC_UMP_REDBLACKWHITE,						W,			1000,		A
		MSFC_UMP_Honeycomb,							W,			1000,		A
		MSFC_UMP_STAR,								W,			1000,		A
		AKS74U,										W,			1500,		A
		MSFC_AKS74U_WHITE,							W,			1700,		A
		MSFC_AKS74U_ATACS_AU,						W,			1700,		A
		MSFC_AKS74U_ATACS_FG,						W,			1700,		A
		MSFC_AKS74U_BLUE,							W,			1700,		A
		MSFC_AKS74U_EMR,							W,			1700,		A
		MSFC_AKS74U_Flecktarn,						W,			1700,		A
		MSFC_AKS74U_HEX,							W,			1700,		A
		MSFC_AKS74U_MARPAT_WD,						W,			1700,		A
		MSFC_AKS74U_MULTICAM,						W,			1700,		A
		MSFC_AKS74U_MULTICAM_BLACK,					W,			1700,		A
		MSFC_AKS74U_MULTICAM_TROPIC,				W,			1700,		A
		MSFC_AKS74U_SNAKE,							W,			1700,		A
		MSFC_AKS74U_SNAKE_GREEN,					W,			1700,		A
		MSFC_AKS74U_SURPAT,							W,			1700,		A
		MSFC_AKS74U_VIPER_WESTERN,					W,			1700,		A
		MSFC_AKS74U_Woodland,						W,			1700,		A
		MSFC_AKS74U_SURPAT_TAN,						W,			1700,		A
		MSFC_AKS74U_ORANGE,							W,			1700,		A
		MSFC_AKS74U_RED,							W,			1700,		A
		MSFC_AKS74U_DARK,							W,			1700,		A
		MSFC_AKS74U_MATRIX,							W,			1700,		A
		MSFC_AKS74U_REDBLACKWHITE,					W,			1700,		A
		MSFC_AKS74U_Honeycomb,						W,			1700,		A
		MSFC_AKS74U_STAR,							W,			1700,		A
	<Category> Assault Rifles
		FAL,										W,			1500,		A
		AKM,										W,			2200,		A
		MSFC_AKM_Tan,								W,			2500,		A
		MSFC_AKM_Green,								W,			2500,		A
		MSFC_AKM_SURPAT_Tan,						W,			2500,		A
		MSFC_AKM_Black,								W,			2500,		A
		MSFC_AKM_White,								W,			2500,		A
		MSFC_AKM_Gray,								W,			2500,		A
		MSFC_AKM_Golden,							W,			2500,		A
		MSFC_AKM_ATACS_FG,							W,			2500,		A
		MSFC_AKM_HELL,								W,			2500,		A
		MSFC_AKM_BLUE,								W,			2500,		A
		MSFC_AKM_EMR,								W,			2500,		A
		MSFC_AKM_Flecktarn,							W,			2500,		A
		MSFC_AKM_HEX,								W,			2500,		A
		MSFC_AKM_MARPAT_WD,							W,			2500,		A
		MSFC_AKM_Multicam,							W,			2500,		A
		MSFC_AKM_MulticamBlack,						W,			2500,		A
		MSFC_AKM_MulticamTropic,					W,			2500,		A
		MSFC_AKM_SNAKE,								W,			2500,		A
		MSFC_AKM_SNAKE_GREEN,						W,			2500,		A
		MSFC_AKM_SURPAT,							W,			2500,		A
		MSFC_AKM_ViperWestern,						W,			2500,		A
		MSFC_AKM_WOODLAND,							W,			2500,		A
		MSFC_AKM_ATACS_AU,							W,			2500,		A
		MSFC_AKM_ORANGE,							W,			2500,		A
		MSFC_AKM_RED,								W,			2500,		A
		MSFC_AKM_DARK,								W,			2500,		A
		MSFC_AKM_MATRIX,							W,			2500,		A
		MSFC_AKM_REDBLACKWHITE,						W,			2500,		A
		MSFC_AKM_Honeycomb,							W,			2500,		A
		MSFC_AKM_STAR,								W,			2500,		A
		MassB52,									W,			2500,		A
		MassType81,									W,			2500,		A
		MSFC_RPK,									W,			2500,		A
		MSFC_AK103,									W,			2500,		A
		MSFC_AK15,									W,			3000,		A
		MSFC_AK15M,									W,			3000,		A
		AK74,										W,			2500,		A
		MSFC_AK74_WHITE,							W,			2700,		A
		MSFC_AK74_ATACS_AU,							W,			2700,		A
		MSFC_AK74_ATACS_FG,							W,			2700,		A
		MSFC_AK74_BLUE,								W,			2700,		A
		MSFC_AK74_EMR,								W,			2700,		A
		MSFC_AK74_Flecktarn,						W,			2700,		A
		MSFC_AK74_HEX,								W,			2700,		A
		MSFC_AK74_MARPAT_WD,						W,			2700,		A
		MSFC_AK74_MULTICAM,							W,			2700,		A
		MSFC_AK74_MULTICAM_BLACK,					W,			2700,		A
		MSFC_AK74_MULTICAM_TROPIC,					W,			2700,		A
		MSFC_AK74_SNAKE,							W,			2700,		A
		MSFC_AK74_SNAKE_GREEN,						W,			2700,		A
		MSFC_AK74_SURPAT,							W,			2700,		A
		MSFC_AK74_VIPER_WESTERN,					W,			2700,		A
		MSFC_AK74_Woodland,							W,			2700,		A
		MSFC_AK74_SURPAT_TAN,						W,			2700,		A
		MSFC_AK74_ORANGE,							W,			2700,		A
		MSFC_AK74_RED,								W,			2700,		A
		MSFC_AK74_DARK,								W,			2700,		A
		MSFC_AK74_MATRIX,							W,			2700,		A
		MSFC_AK74_REDBLACKWHITE,					W,			2700,		A
		MSFC_AK74_Honeycomb,						W,			2700,		A
		MSFC_AK74_STAR,								W,			2700,		A
		MSFC_RPK74,									W,			2500,		A
		MSFC_AK12M,									W,			3000,		A
		AK101,										W,			2500,		A
		MSFC_AK101_WHITE,							W,			2700,		A
		MSFC_AK101_ATACS_AU,						W,			2700,		A
		MSFC_AK101_ATACS_FG,						W,			2700,		A
		MSFC_AK101_BLUE,							W,			2700,		A
		MSFC_AK101_EMR,								W,			2700,		A
		MSFC_AK101_Flecktarn,						W,			2700,		A
		MSFC_AK101_HEX,								W,			2700,		A
		MSFC_AK101_MARPAT_WD,						W,			2700,		A
		MSFC_AK101_MULTICAM,						W,			2700,		A
		MSFC_AK101_MULTICAM_BLACK,					W,			2700,		A
		MSFC_AK101_MULTICAM_TROPIC,					W,			2700,		A
		MSFC_AK101_SNAKE,							W,			2700,		A
		MSFC_AK101_SNAKE_GREEN,						W,			2700,		A
		MSFC_AK101_SURPAT,							W,			2700,		A
		MSFC_AK101_VIPER_WESTERN,					W,			2700,		A
		MSFC_AK101_Woodland,						W,			2700,		A
		MSFC_AK101_SURPAT_TAN,						W,			2700,		A
		MSFC_AK101_ORANGE,							W,			2700,		A
		MSFC_AK101_RED,								W,			2700,		A
		MSFC_AK101_DARK,							W,			2700,		A
		MSFC_AK101_MATRIX,							W,			2700,		A
		MSFC_AK101_REDBLACKWHITE,					W,			2700,		A
		MSFC_AK101_Honeycomb,						W,			2700,		A
		MSFC_AK101_STAR,							W,			2700,		A
		MSFC_AK_ALFA,								W,			3000,		A
		MSFC_AK13M,									W,			3000,		A
		MSFC_AR15,									W,			2100,		A
		MSFC_TacAR15,								W,			3000,		A
		MSFC_TacAR15_SBR,							W,			3200,		A
		M4A1,										W,			2500,		A
		MSFC_M4A1_White,							W,			2700,		A
		MSFC_M4A1_ATACS_FG,							W,			2700,		A
		MSFC_M4A1_SURPAT_TAN,						W,			2700,		A
		MSFC_M4A1_BLUE,								W,			2700,		A
		MSFC_M4A1_EMR,								W,			2700,		A
		MSFC_M4A1_Flecktarn,						W,			2700,		A
		MSFC_M4A1_HEX,								W,			2700,		A
		MSFC_M4A1_MARPAT_WD,						W,			2700,		A
		MSFC_M4A1_Multicam,							W,			2700,		A
		MSFC_M4A1_MulticamBlack,					W,			2700,		A
		MSFC_M4A1_MulticamTropic,					W,			2700,		A
		MSFC_M4A1_SNAKE,							W,			2700,		A
		MSFC_M4A1_SNAKE_GREEN,						W,			2700,		A
		MSFC_M4A1_SURPAT,							W,			2700,		A
		MSFC_M4A1_ViperWestern,						W,			2700,		A
		MSFC_M4A1_WOODLAND,							W,			2700,		A
		MSFC_M4A1_ATACS_AU,							W,			2700,		A
		MSFC_M4A1_ORANGE,							W,			2700,		A
		MSFC_M4A1_RED,								W,			2700,		A
		MSFC_M4A1_DARK,								W,			2700,		A
		MSFC_M4A1_MATRIX,							W,			2700,		A
		MSFC_M4A1_REDBLACKWHITE,					W,			2700,		A
		MSFC_M4A1_Honeycomb,						W,			2700,		A
		MSFC_M4A1_STAR,								W,			2700,		A
		MSFC_HK416,									W,			3200,		A
		M16,										W,			2500,		A
		MSFC_M16A4,									W,			2700,		A
		SCAR,										W,			2700,		A
	<Category> Sniper Rifles
		VSS,										W,			2500,		A
		MSFC_AS_VAL,								W,			3000,		A
		MassAR15,									W,			3200,		A
		SVD,										W,			3500,		A
		MSFC_SVD_WHITE,								W,			3800,		A
		MSFC_SVD_ATACS_AU,							W,			3800,		A
		MSFC_SVD_ATACS_FG,							W,			3800,		A
		MSFC_SVD_BLUE,								W,			3800,		A
		MSFC_SVD_EMR,								W,			3800,		A
		MSFC_SVD_Flecktarn,							W,			3800,		A
		MSFC_SVD_HEX,								W,			3800,		A
		MSFC_SVD_MARPAT_WD,							W,			3800,		A
		MSFC_SVD_MULTICAM,							W,			3800,		A
		MSFC_SVD_MULTICAM_BLACK,					W,			3800,		A
		MSFC_SVD_MULTICAM_TROPIC,					W,			3800,		A
		MSFC_SVD_SNAKE,								W,			3800,		A
		MSFC_SVD_SNAKE_GREEN,						W,			3800,		A
		MSFC_SVD_SURPAT,							W,			3800,		A
		MSFC_SVD_VIPER_WESTERN,						W,			3800,		A
		MSFC_SVD_Woodland,							W,			3800,		A
		MSFC_SVD_SURPAT_TAN,						W,			3800,		A
		MSFC_SVD_ORANGE,							W,			3800,		A
		MSFC_SVD_RED,								W,			3800,		A
		MSFC_SVD_DARK,								W,			3800,		A
		MSFC_SVD_MATRIX,							W,			3800,		A
		MSFC_SVD_REDBLACKWHITE,						W,			3800,		A
		MSFC_SVD_Honeycomb,							W,			3800,		A
		MSFC_SVD_STAR,								W,			3800,		A
		MassM110,									W,			4000,		A
		M1A,										W,			4000,		A
		M14,										W,			4500,		A
<Trader> Weapon Supplies // ID=3
	<Category> Ammunition - Unboxed Ammo Bought/Sold Increments of 5
		Ammo_380,									5,			2,			A
		Ammo_9x19,									5,			2,			A
		Ammo_22,									5,			2,			A
		Ammo_45ACP,									5,			2,			A
		Ammo_12gaPellets,							5,			3,			A
		Ammo_12gaSlug,								5,			4,			A
		Ammo_12GaBB,								5,			1000,		A
		Ammo_9x39,									5,			20,			A
		Ammo_9x39AP,								5,			20,			A
		Ammo_308Win,								5,			20,			A
		Ammo_545x39,								5,			20,			A
		Ammo_556x45,								5,			20,			A
		Ammo_762x39,								5,			20,			A
		Ammo_762x54,								5,			40,			A
		Ammo_556x45Tracer,							5,			40,			A
		Ammo_545x39Tracer,							5,			40,			A
		Ammo_308WinTracer,							5,			40,			A
		Ammo_762x39Tracer,							5,			40,			A
		Ammo_762x54Tracer,							5,			40,			A
		Ammo_8mm,									5,			100,		A
		Ammo_338,									5,			100,		A
		Ammo_408Chey,								5,			125,		A
		AmmoBox_380_35rnd,							*,			25,			A
		AmmoBox_9x19_25rnd,							*,			30,			A
		AmmoBox_45ACP_25rnd,						*,			30,			A
		AmmoBox_22_50Rnd,							*,			60,			A
		AmmoBox_00buck_10rnd,						*,			40,			A
		AmmoBox_12gaSlug_10Rnd,						*,			50,			A
		AmmoBox_12gaBB,								*,			20,			A
		AmmoBox_9x39_20Rnd,							*,			64,			A
		AmmoBox_9x39AP_20Rnd,						*,			64,			A
		AmmoBox_308Win_20Rnd,						*,			64,			A
		AmmoBox_545x39_20Rnd,						*,			64,			A
		AmmoBox_556x45_20Rnd,						*,			64,			A
		AmmoBox_762x39_20Rnd,						*,			64,			A
		AmmoBox_762x54_20Rnd,						*,			64,			A
		AmmoBox_308WinTracer_20Rnd,					*,			128,		A
		AmmoBox_545x39Tracer_20Rnd,					*,			128,		A
		AmmoBox_556x45Tracer_20Rnd,					*,			128,		A
		AmmoBox_762x39Tracer_20Rnd,					*,			128,		A
		AmmoBox_762x54Tracer_20Rnd,					*,			128,		A
		AmmoBox_8mm_15rnd,							*,			240,		A
		AmmoBox_338_15rnd,							*,			240,		A
		AmmoBox_408Chey,							*,			400,		A
	<Category> Magazines
		Mag_MKII_10Rnd,								M,			50,			A
		Mag_IJ70_8Rnd,								M,			55,			A
		Mag_CZ75_15Rnd,								M,			70,			A
		Mag_lebedev_PL15_16Rnd,						M,			70,			A
		Mag_Glock_15Rnd,							M,			80,			A
		MassG18Mag,									M,			100,		A
		Mass357M1911Mag,							M,			80,			A
		MSFC_P250_Mag_15Rnd,						M,			80,			A
		Mag_FNX45_15Rnd,							M,			90,			A
		Mag_Mk22_14Rnd,								M,			95,			A
		Mag_1911_7Rnd,								M,			100,		A
		Scout556mag,								M,			200,		A
		Mag_CZ527_5rnd,								M,			100,		A
		MassSVTmag,									M,			150,		A
		Mag_gewehr43_10Rnd_mung,					M,			110,		A
		Mag_308WinSnaploader_2Rnd,					M,			25,			A
		Mag_Saiga_5Rnd,								M,			400,		A
		Mag_Saiga_8Rnd,								M,			440,		A
		Mag_Saiga_Drum20Rnd,						M,			550,		A
		Mag_CZ61_20Rnd,								M,			140,		A
		Mag_Vityaz_30Rnd,							M,			200,		A
		Mag_MP5_30Rnd,								M,			200,		A
		Massppshbox,								M,			300,		A
		Massppshdrum,								M,			500,		A
		Mag_UMP_25Rnd,								M,			160,		A
		Mag_FAL_20Rnd,								M,			300,		A
		Mag_AKM_30Rnd,								M,			500,		A
		Mag_AKM_Palm30Rnd,							M,			600,		A
		Mag_AKM_Drum75Rnd,							M,			700,		A
		Mag_AK74_30Rnd,								M,			500,		A
		Mag_AK101_30Rnd,							M,			500,		A
		Mag_STANAG_30Rnd,							M,			500,		A
		Mag_STANAGCoupled_30Rnd,					M,			1000,		A
		Mag_CMAG_10Rnd,								M,			166,		A
		Mag_CMAG_20Rnd,								M,			333,		A
		Mag_CMAG_30Rnd,								M,			500,		A
		Mag_CMAG_40Rnd,								M,			666,		A
		Mag_CMAG_10Rnd_Black,						M,			1660,		A
		Mag_VSS_10Rnd,								M,			500,		A
		Mass9x39Palm,								M,			640,		A
		Mag_SVD_10Rnd,								M,			700,		A
		Mass308STANAG,								M,			800,		A
		Mag_M14_10Rnd,								M,			800,		A
		Mag_M14_20Rnd,								M,			1600,		A
	<Category> Handguards
		MP5_PlasticHndgrd,							*,			100,		A
		MP5_RailHndgrd,								*,			150,		A
		MSFC_AK_Zenitco_Handguard,					*,			250,		A
		AK_WoodHndgrd,								*,			200,		A
		AK_RailHndgrd,								*,			200,		A
		MSFC_AK_RailHndgrd_WHITE,					*,			250,		A
		MSFC_AK_RailHndgrd_ATACS_AU,				*,			250,		A
		MSFC_AK_RailHndgrd_ATACS_FG,				*,			250,		A
		MSFC_AK_RailHndgrd_BLUE,					*,			250,		A
		MSFC_AK_RailHndgrd_EMR,						*,			250,		A
		MSFC_AK_RailHndgrd_Flecktarn,				*,			250,		A
		MSFC_AK_RailHndgrd_HEX,						*,			250,		A
		MSFC_AK_RailHndgrd_MARPAT_WD,				*,			250,		A
		MSFC_AK_RailHndgrd_MULTICAM,				*,			250,		A
		MSFC_AK_RailHndgrd_MULTICAM_BLACK,			*,			250,		A
		MSFC_AK_RailHndgrd_MULTICAM_TROPIC,			*,			250,		A
		MSFC_AK_RailHndgrd_SNAKE,					*,			250,		A
		MSFC_AK_RailHndgrd_SNAKE_GREEN,				*,			250,		A
		MSFC_AK_RailHndgrd_SURPAT,					*,			250,		A
		MSFC_AK_RailHndgrd_VIPER_WESTERN,			*,			250,		A
		MSFC_AK_RailHndgrd_Woodland,				*,			250,		A
		MSFC_AK_RailHndgrd_SURPAT_TAN,				*,			250,		A
		MSFC_AK_RailHndgrd_ORANGE,					*,			250,		A
		MSFC_AK_RailHndgrd_RED,						*,			250,		A
		MSFC_AK_RailHndgrd_DARK,					*,			250,		A
		MSFC_AK_RailHndgrd_MATRIX,					*,			250,		A
		MSFC_AK_RailHndgrd_REDBLACKWHITE,			*,			250,		A
		MSFC_AK_RailHndgrd_Honeycomb,				*,			250,		A
		MSFC_AK_RailHndgrd_STAR,					*,			250,		A
		AK74_Hndgrd,								*,			150,		A
		AK_PlasticHndgrd,							*,			200,		A
		MSFC_AK_PlasticHndgrd_WHITE,				*,			250,		A
		MSFC_AK_PlasticHndgrd_ATACS_AU,				*,			250,		A
		MSFC_AK_PlasticHndgrd_ATACS_FG,				*,			250,		A
		MSFC_AK_PlasticHndgrd_BLUE,					*,			250,		A
		MSFC_AK_PlasticHndgrd_EMR,					*,			250,		A
		MSFC_AK_PlasticHndgrd_Flecktarn,			*,			250,		A
		MSFC_AK_PlasticHndgrd_HEX,					*,			250,		A
		MSFC_AK_PlasticHndgrd_MARPAT_WD,			*,			250,		A
		MSFC_AK_PlasticHndgrd_MULTICAM,				*,			250,		A
		MSFC_AK_PlasticHndgrd_MULTICAM_BLACK,		*,			250,		A
		MSFC_AK_PlasticHndgrd_MULTICAM_TROPIC,		*,			250,		A
		MSFC_AK_PlasticHndgrd_SNAKE,				*,			250,		A
		MSFC_AK_PlasticHndgrd_SNAKE_GREEN,			*,			250,		A
		MSFC_AK_PlasticHndgrd_SURPAT,				*,			250,		A
		MSFC_AK_PlasticHndgrd_VIPER_WESTERN,		*,			250,		A
		MSFC_AK_PlasticHndgrd_Woodland,				*,			250,		A
		MSFC_AK_PlasticHndgrd_SURPAT_TAN,			*,			250,		A
		MSFC_AK_PlasticHndgrd_ORANGE,				*,			250,		A
		MSFC_AK_PlasticHndgrd_RED,					*,			250,		A
		MSFC_AK_PlasticHndgrd_DARK,					*,			250,		A
		MSFC_AK_PlasticHndgrd_MATRIX,				*,			250,		A
		MSFC_AK_PlasticHndgrd_REDBLACKWHITE,		*,			250,		A
		MSFC_AK_PlasticHndgrd_Honeycomb,			*,			250,		A
		MSFC_AK_PlasticHndgrd_STAR,					*,			250,		A
		M4_PlasticHndgrd,							*,			150,		A
		MSFC_M4_PlasticHndgrd_WHITE,				*,			200,		A
		MSFC_M4_PlasticHndgrd_ATACS_AU,				*,			200,		A
		MSFC_M4_PlasticHndgrd_ATACS_FG,				*,			200,		A
		MSFC_M4_PlasticHndgrd_BLUE,					*,			200,		A
		MSFC_M4_PlasticHndgrd_EMR,					*,			200,		A
		MSFC_M4_PlasticHndgrd_Flecktarn,			*,			200,		A
		MSFC_M4_PlasticHndgrd_HEX,					*,			200,		A
		MSFC_M4_PlasticHndgrd_MARPAT_WD,			*,			200,		A
		MSFC_M4_PlasticHndgrd_MULTICAM,				*,			200,		A
		MSFC_M4_PlasticHndgrd_MULTICAM_BLACK,		*,			200,		A
		MSFC_M4_PlasticHndgrd_MULTICAM_TROPIC,		*,			200,		A
		MSFC_M4_PlasticHndgrd_SNAKE,				*,			200,		A
		MSFC_M4_PlasticHndgrd_SNAKE_GREEN,			*,			200,		A
		MSFC_M4_PlasticHndgrd_SURPAT,				*,			200,		A
		MSFC_M4_PlasticHndgrd_VIPER_WESTERN,		*,			200,		A
		MSFC_M4_PlasticHndgrd_Woodland,				*,			200,		A
		MSFC_M4_PlasticHndgrd_SURPAT_TAN,			*,			200,		A
		MSFC_M4_PlasticHndgrd_ORANGE,				*,			200,		A
		MSFC_M4_PlasticHndgrd_RED,					*,			200,		A
		MSFC_M4_PlasticHndgrd_DARK,					*,			200,		A
		MSFC_M4_PlasticHndgrd_MATRIX,				*,			200,		A
		MSFC_M4_PlasticHndgrd_REDBLACKWHITE,		*,			200,		A
		MSFC_M4_PlasticHndgrd_Honeycomb,			*,			200,		A
		MSFC_M4_PlasticHndgrd_STAR,					*,			200,		A
		M4_RISHndgrd,								*,			200,		A
		MSFC_M4_RISHndgrd_WHITE,					*,			250,		A
		MSFC_M4_RISHndgrd_ATACS_AU,					*,			250,		A
		MSFC_M4_RISHndgrd_ATACS_FG,					*,			250,		A
		MSFC_M4_RISHndgrd_BLUE,						*,			250,		A
		MSFC_M4_RISHndgrd_EMR,						*,			250,		A
		MSFC_M4_RISHndgrd_Flecktarn,				*,			250,		A
		MSFC_M4_RISHndgrd_HEX,						*,			250,		A
		MSFC_M4_RISHndgrd_MARPAT_WD,				*,			250,		A
		MSFC_M4_RISHndgrd_MULTICAM,					*,			250,		A
		MSFC_M4_RISHndgrd_MULTICAM_BLACK,			*,			250,		A
		MSFC_M4_RISHndgrd_MULTICAM_TROPIC,			*,			250,		A
		MSFC_M4_RISHndgrd_SNAKE,					*,			250,		A
		MSFC_M4_RISHndgrd_SNAKE_GREEN,				*,			250,		A
		MSFC_M4_RISHndgrd_SURPAT,					*,			250,		A
		MSFC_M4_RISHndgrd_VIPER_WESTERN,			*,			250,		A
		MSFC_M4_RISHndgrd_Woodland,					*,			250,		A
		MSFC_M4_RISHndgrd_SURPAT_TAN,				*,			250,		A
		MSFC_M4_RISHndgrd_ORANGE,					*,			250,		A
		MSFC_M4_RISHndgrd_RED,						*,			250,		A
		MSFC_M4_RISHndgrd_DARK,						*,			250,		A
		MSFC_M4_RISHndgrd_MATRIX,					*,			250,		A
		MSFC_M4_RISHndgrd_REDBLACKWHITE,			*,			250,		A
		MSFC_M4_RISHndgrd_Honeycomb,				*,			250,		A
		MSFC_M4_RISHndgrd_STAR,						*,			250,		A
		M4_MPHndgrd,								*,			200,		A
	<Category> Buttstocks
		Saiga_Bttstck,								*,			150,		A
		MP5k_StockBttstck,							*,			100,		A
		AKS74U_Bttstck,								*,			150,		A
		Fal_OeBttstck,								*,			100,		A
